time,State_Inputs,State_Capacity,Administrative_Complexity,Systemic_Burden,State_Integrity
0.0,1.0,0.5,0.1,0.05,0.5
0.01,0.9997951154359213,0.5004998504719074,0.10014957451575322,0.050017196288012565,0.5002250694405154
0.02,0.9995902656612042,0.5009995979730737,0.10029929805108552,0.050034393001024524,0.5004502777493376
0.03,0.9993854506653445,0.5014992425216862,0.10044917057505721,0.05005159015419119,0.5006756248934562
0.04,0.9991806704362354,0.5019987841387108,0.10059919205196884,0.05006878776505171,0.5009011108347647
0.05,0.998975924967513,0.502498222835194,0.10074936246280965,0.05008598584326709,0.5011267355528597
0.06,0.9987712142470713,0.5029975586321113,0.1008996817717787,0.050103184406561876,0.5013524990094793
0.07,0.9985665382634793,0.5034967915492622,0.1010501499451329,0.050120383471561204,0.501578401168589
0.08,0.9983618970053064,0.5039959216064461,0.10120076694912915,0.050137583054890196,0.5018044419941539
0.09,0.9981572904611218,0.5044949488234626,0.10135153275002437,0.050154783173173983,0.5020306214501393
0.1,0.9979527186194943,0.504993873220111,0.10150244731407548,0.050171983843037685,0.5022569395005105
0.11,0.9977481814689935,0.5054926948161909,0.10165351060753937,0.05018918508110644,0.5024833961092328
0.12,0.9975436789981882,0.5059914136315015,0.10180472259667298,0.05020638690400536,0.5027099912402715
0.13,0.9973392111956476,0.5064900296858424,0.10195608324773318,0.050223589328359595,0.5029367248575918
0.14,0.997134778049941,0.5069885429990133,0.1021075925269769,0.050240792370794256,0.503163596925159
0.15,0.9969303795496376,0.5074869535908133,0.10225925040066107,0.05025799604793448,0.5033906074069384
0.16,0.9967260156833396,0.5079852614809853,0.10241105683512959,0.050275200376377324,0.503617756266983
0.17,0.9965216864421486,0.5084834666850261,0.10256301180325378,0.05029240537061442,0.5038450434759195
0.18,0.9963173918166655,0.5089815692192826,0.102715115276598,0.05030961104555898,0.5040724690030588
0.19,0.9961131317960948,0.5094795691024744,0.10286736722307917,0.050326817417300676,0.504300032814038
0.2,0.9959089063696416,0.5099774663533209,0.10301976761061422,0.050344024501929194,0.5045277348744943
0.21,0.9957047155265102,0.5104752609905419,0.10317231640712013,0.05036123231553422,0.5047555751500648
0.22,0.9955005592559053,0.5109729530328567,0.1033250135805138,0.05037844087420544,0.5049835536063867
0.23,0.9952964375470317,0.5114705424989852,0.1034778590987122,0.05039565019403252,0.5052116702090972
0.24,0.9950923503890938,0.5119680294076467,0.10363085292963224,0.05041286029110515,0.5054399249238335
0.25,0.9948882977712966,0.512465413777561,0.10378399504119087,0.05043007118151301,0.5056683177162327
0.26,0.9946842796828447,0.5129626956274477,0.10393728540130505,0.05044728288134579,0.5058968485519321
0.27,0.9944802961129425,0.5134598749760262,0.10409072397789171,0.05046449540669316,0.5061255173965686
0.28,0.994276347050795,0.5139569518420162,0.10424431073886778,0.05048170877364481,0.5063543242157797
0.29,0.9940724324858832,0.5144539262437198,0.10439804565230923,0.05049892299908473,0.5065832689750639
0.3,0.9938685524078441,0.5149507981992042,0.10455192868638163,0.05051613810034456,0.5068123516398418
0.31,0.9936647068059854,0.5154475677270336,0.10470595980906114,0.05053335409380963,0.5070415721756992
0.32,0.9934608956696129,0.5159442348457749,0.10486013898832283,0.05055057099586013,0.5072709305482225
0.33,0.9932571189880324,0.5164407995739952,0.10501446619214182,0.050567788822876256,0.5075004267229981
0.34,0.9930533767505496,0.5169372619302613,0.1051689413884932,0.05058500759123819,0.5077300606656127
0.35000000000000003,0.9928496689464704,0.5174336219331402,0.10532356454535206,0.05060222731732613,0.5079598323416528
0.36,0.9926459955651007,0.517929879601199,0.10547833563069353,0.050619448017520254,0.5081897417167048
0.37,0.9924423565957461,0.5184260349530043,0.10563325461249269,0.05063666970820076,0.5084197887563554
0.38,0.9922387520277125,0.5189220880071234,0.10578832145872465,0.05065389240574784,0.5086499734261909
0.39,0.9920351818503056,0.519418038782123,0.10594353613736449,0.05067111612654166,0.508880295691798
0.4,0.9918316460528314,0.5199138872965702,0.10609889861638733,0.05068834088696244,0.5091107555187632
0.41000000000000003,0.9916281446307469,0.5204096335596587,0.10625440886729424,0.05070556672129077,0.5093413528694339
0.42,0.9914246775600534,0.5209052776102284,0.10641006685043408,0.05072279360719049,0.5095720877164024
0.43,0.991221244838451,0.5214008194540554,0.10656587253859366,0.05074002158546952,0.5098029600208348
0.44,0.9910178464552638,0.5218962591096785,0.10672182589975855,0.050757250672561226,0.5100339697483083
0.45,0.9908144823998242,0.5223915965956245,0.10687792690191904,0.05077448088492294,0.5102651168643954
0.46,0.9906111526614726,0.5228868319304073,0.10703417551307018,0.05079171223903601,0.5104964013346641
0.47000000000000003,0.990407857229558,0.5233819651325283,0.10719057170121168,0.050808944751405745,0.5107278231246787
0.48,0.9902045960934374,0.5238769962204766,0.10734711543434805,0.05082617843856146,0.5109593821999983
0.49,0.990001369242476,0.5243719252127281,0.10750380668048848,0.05084341331705645,0.5111910785261784
0.5,0.9897981766660474,0.5248667521277468,0.10766064540764687,0.050860649403468,0.5114229120687697
0.51,0.9895950183535333,0.5253614769839839,0.1078176315838419,0.050877886714397386,0.5116548827933187
0.52,0.9893918942943238,0.525856099799878,0.10797476517709692,0.05089512526646986,0.5118869906653678
0.53,0.9891888044780259,0.5263506205935097,0.1081320461555524,0.050912365077027996,0.5121192356502939
0.54,0.9889857488952714,0.526845039381265,0.10828947448790094,0.050929606166816625,0.5123516177126874
0.55,0.9887827275357185,0.5273393561811422,0.10844705014231111,0.05094684855334142,0.5125841368178901
